step,time,minutes_from_start,CGM,basal_rate,bolus,IOB,IOB_Model,CHO,aggression,trend_mgdl_min,target,mpc_used,mpc_u0,mpc_usteady,mpc_predicted_final_bg
0,2025-01-01 00:00,0.0,171.6,0.0,1.2326,1.232,HYBRID_MPC_BERGMAN,0.0,1.0,0.0,110.0,1,0.0,0.0,111.84
0,2025-01-01 00:03,3.0,171.6,0.0,0.6158,1.848,HYBRID_MPC_BERGMAN,0.0,1.0,0.0,110.0,1,0.0,0.0,111.84
0,2025-01-01 00:06,6.0,171.0,0.0,0.2952,2.142,HYBRID_MPC_BERGMAN,0.0,1.0,0.0,110.0,1,0.0,0.0,111.82
0,2025-01-01 00:09,9.0,168.8,0.0,0.1048,2.245,HYBRID_MPC_BERGMAN,0.0,1.0,0.0,110.0,1,0.0,0.0,111.76
0,2025-01-01 00:12,12.0,165.5,0.0,0.0,2.242,HYBRID_MPC_BERGMAN,0.0,1.0,0.0,110.0,1,0.0,0.0,111.66
0,2025-01-01 00:15,15.0,161.5,0.0,0.0,2.239,HYBRID_MPC_BERGMAN,0.0,1.0,-0.675,110.0,1,0.0,0.0,111.54
0,2025-01-01 00:18,18.0,157.3,0.0,0.0,2.236,HYBRID_MPC_BERGMAN,0.0,1.0,-0.816,110.0,1,0.0,0.0,111.41
0,2025-01-01 00:21,21.0,153.2,0.0,0.0,2.231,HYBRID_MPC_BERGMAN,0.0,1.0,-0.921,110.0,1,0.0,0.0,111.29
0,2025-01-01 00:24,24.0,149.6,0.0,0.0,2.226,HYBRID_MPC_BERGMAN,0.0,1.0,-0.988,110.0,1,0.0,0.0,111.19
0,2025-01-01 00:27,27.0,147.0,0.0,0.0,2.221,HYBRID_MPC_BERGMAN,0.0,1.0,-1.016,110.0,1,0.0,0.0,111.11
0,2025-01-01 00:30,30.0,145.4,0.0,0.0,2.215,HYBRID_MPC_BERGMAN,0.0,1.0,-1.093,110.0,1,0.0,0.0,111.06
0,2025-01-01 00:33,33.0,144.7,0.0,0.0,2.208,HYBRID_MPC_BERGMAN,0.0,1.0,-1.076,110.0,1,0.0,0.0,111.04
0,2025-01-01 00:36,36.0,144.6,0.0,0.0,2.201,HYBRID_MPC_BERGMAN,0.0,1.0,-0.967,110.0,1,0.0,0.0,111.04
0,2025-01-01 00:39,39.0,145.0,0.0,0.0,2.193,HYBRID_MPC_BERGMAN,0.0,1.0,-0.792,110.0,1,0.0,0.0,111.05
0,2025-01-01 00:42,42.0,145.6,0.0,0.0,2.184,HYBRID_MPC_BERGMAN,0.0,1.0,-0.583,110.0,1,0.0,0.0,111.07
0,2025-01-01 00:45,45.0,146.2,0.0,0.0,2.175,HYBRID_MPC_BERGMAN,0.0,1.0,-0.371,110.0,1,0.0,0.0,111.08
0,2025-01-01 00:48,48.0,146.5,0.0,0.0,2.165,HYBRID_MPC_BERGMAN,0.0,1.0,-0.187,110.0,1,0.0,0.0,111.09
0,2025-01-01 00:51,51.0,146.3,0.0,0.0,2.154,HYBRID_MPC_BERGMAN,0.0,1.0,-0.052,110.0,1,0.0,0.0,111.09
0,2025-01-01 00:54,54.0,145.5,0.0,0.0,2.143,HYBRID_MPC_BERGMAN,0.0,1.0,0.016,110.0,1,0.0,0.0,111.06
0,2025-01-01 00:57,57.0,143.8,0.0,0.0,2.132,HYBRID_MPC_BERGMAN,0.0,1.0,0.01,110.0,1,0.0,0.0,111.01
0,2025-01-01 01:00,60.0,141.3,0.0,0.0,2.119,HYBRID_MPC_BERGMAN,0.0,1.0,-0.063,110.0,1,0.0,0.0,110.94
0,2025-01-01 01:03,63.0,138.2,0.0,0.0,2.106,HYBRID_MPC_BERGMAN,0.0,1.0,-0.192,110.0,1,0.0,0.0,110.84
0,2025-01-01 01:06,66.0,135.0,0.0,0.0,2.093,HYBRID_MPC_BERGMAN,0.0,1.0,-0.354,110.0,1,0.0,0.0,110.75
