step,time,minutes_from_start,CGM,basal_rate,bolus,IOB,IOB_Model,CHO,aggression,trend_mgdl_min,target,mpc_used,mpc_u0,mpc_usteady,mpc_predicted_final_bg,mpc_disturbance_est,mpc_internal_model
0,2025-01-01 00:00,0.0,175.0,9.0,0.0,0.45,PURE_MPC_BERGMAN,0.0,1.0,0.0,120.0,1,0.15,0.12,91.52,0.0,iob_linear
0,2025-01-01 00:03,3.0,175.0,9.0,0.0,0.9,PURE_MPC_BERGMAN,0.0,1.0,0.0,120.0,1,0.15,0.1125,91.42,0.06074,iob_linear
0,2025-01-01 00:06,6.0,174.3,9.0,0.0,1.349,PURE_MPC_BERGMAN,0.0,1.0,0.0,120.0,1,0.15,0.105,93.25,0.16398,iob_linear
0,2025-01-01 00:09,9.0,172.2,9.0,0.0,1.798,PURE_MPC_BERGMAN,0.0,1.0,0.0,120.0,1,0.15,0.0975,95.36,0.29692,iob_linear
0,2025-01-01 00:12,12.0,168.9,9.0,0.0,2.247,PURE_MPC_BERGMAN,0.0,1.0,0.0,120.0,1,0.15,0.09,97.61,0.45059,iob_linear
0,2025-01-01 00:15,15.0,164.9,9.0,0.0,2.694,PURE_MPC_BERGMAN,0.0,1.0,-0.674,120.0,1,0.15,0.06,101.95,0.41642,iob_linear
0,2025-01-01 00:18,18.0,160.7,9.0,0.0,3.141,PURE_MPC_BERGMAN,0.0,1.0,-0.814,120.0,1,0.15,0.03,107.77,0.41105,iob_linear
0,2025-01-01 00:21,21.0,156.7,8.74575,0.0,3.575,PURE_MPC_BERGMAN,0.0,1.0,-0.917,120.0,1,0.145762,0.007288,111.33,0.43675,iob_linear
0,2025-01-01 00:24,24.0,153.2,6.77095,0.0,3.908,PURE_MPC_BERGMAN,0.0,1.0,-0.981,120.0,1,0.112849,0.0,109.67,0.494,iob_linear
0,2025-01-01 00:27,27.0,150.7,1.10483,0.0,3.957,PURE_MPC_BERGMAN,0.0,1.0,-1.006,120.0,1,0.018414,0.0,111.07,0.57162,iob_linear
0,2025-01-01 00:30,30.0,149.3,0.36386,0.0,3.968,PURE_MPC_BERGMAN,0.0,1.0,-1.076,120.0,1,0.006064,0.0,111.88,0.61167,iob_linear
0,2025-01-01 00:33,33.0,148.9,1.81436,0.0,4.05,PURE_MPC_BERGMAN,0.0,1.0,-1.05,120.0,1,0.030239,0.0,112.08,0.6489,iob_linear
0,2025-01-01 00:36,36.0,149.2,4.97645,0.0,4.29,PURE_MPC_BERGMAN,0.0,1.0,-0.928,120.0,1,0.082941,0.0,112.21,0.72278,iob_linear
